case_id,artifact_type,value,note,severity,status
finance-22,container,finance-22,"macOS, prod, HR",HIGH,NEW
finance-24,laptop,finance-24,"Linux, prod, HR",HIGH,NEW
finance-24,server,finance-24,"macOS, staging, Finance",HIGH,NEW
finance-25,laptop,finance-25,"Linux, dev, IT",LOW,NEW
finance-28,container,finance-28,"Windows, staging, Engineering",HIGH,NEW
finance-29,server,finance-29,"macOS, dev, Security",HIGH,NEW
finance-29,firewall,finance-29,"Linux, prod, Finance",HIGH,NEW
finance-29,server,finance-29,"Windows, staging, Engineering",HIGH,NEW
finance-3,server,finance-3,"Windows, staging, IT",LOW,NEW
finance-30,firewall,finance-30,"Linux, staging, Finance",HIGH,NEW
finance-30,server,finance-30,"macOS, prod, Security",HIGH,NEW
finance-30,laptop,finance-30,"Windows, staging, IT",HIGH,NEW
finance-33,firewall,finance-33,"Windows, staging, Security",HIGH,NEW
finance-35,laptop,finance-35,"macOS, prod, IT",HIGH,NEW
finance-37,firewall,finance-37,"Linux, staging, HR",HIGH,NEW
finance-37,firewall,finance-37,"Linux, staging, Executive Administration",HIGH,NEW
finance-37,server,finance-37,"macOS, dev, Engineering",HIGH,NEW
finance-38,firewall,finance-38,"Windows, prod, Executive Administration",LOW,NEW
finance-39,container,finance-39,"Windows, staging, Engineering",HIGH,NEW
finance-39,server,finance-39,"macOS, dev, Executive Administration",HIGH,NEW
finance-4,firewall,finance-4,"Windows, staging, Finance",HIGH,NEW
finance-4,laptop,finance-4,"Linux, dev, HR",HIGH,NEW
finance-4,laptop,finance-4,"Windows, prod, HR",HIGH,NEW
finance-40,firewall,finance-40,"Linux, prod, Security",HIGH,NEW
finance-40,laptop,finance-40,"Linux, staging, Finance",HIGH,NEW
finance-40,container,finance-40,"macOS, prod, Executive Administration",HIGH,NEW
finance-41,laptop,finance-41,"macOS, dev, Executive Administration",HIGH,NEW
finance-41,firewall,finance-41,"Linux, dev, IT",HIGH,NEW
finance-42,firewall,finance-42,"Linux, dev, IT",LOW,NEW
finance-45,firewall,finance-45,"Linux, dev, HR",LOW,NEW
finance-46,container,finance-46,"Windows, prod, Security",HIGH,NEW
finance-46,firewall,finance-46,"macOS, staging, Executive Administration",HIGH,NEW
finance-47,laptop,finance-47,"Linux, prod, IT",HIGH,NEW
finance-48,laptop,finance-48,"macOS, staging, IT",MEDIUM,NEW
finance-48,container,finance-48,"Windows, prod, Engineering",MEDIUM,NEW
finance-49,firewall,finance-49,"macOS, staging, Executive Administration",LOW,NEW
finance-5,firewall,finance-5,"macOS, dev, Engineering",LOW,NEW
finance-6,firewall,finance-6,"macOS, dev, IT",MEDIUM,NEW
finance-8,container,finance-8,"Windows, dev, HR",HIGH,NEW
hr-1,laptop,hr-1,"macOS, prod, Finance",LOW,NEW
hr-10,laptop,hr-10,"Linux, prod, Security",HIGH,NEW
hr-11,firewall,hr-11,"macOS, prod, IT",LOW,NEW
hr-11,server,hr-11,"macOS, prod, HR",LOW,NEW
hr-11,laptop,hr-11,"macOS, staging, HR",LOW,NEW
hr-12,firewall,hr-12,"Linux, staging, HR",HIGH,NEW
hr-14,server,hr-14,"Linux, prod, Security",LOW,NEW
hr-16,laptop,hr-16,"Linux, staging, HR",HIGH,NEW
hr-16,container,hr-16,"Windows, dev, Executive Administration",HIGH,NEW
hr-17,container,hr-17,"Linux, dev, Executive Administration",LOW,NEW
hr-18,server,hr-18,"Linux, prod, HR",LOW,NEW
hr-19,container,hr-19,"Windows, prod, Security",HIGH,NEW
hr-21,server,hr-21,"Windows, prod, Security",LOW,NEW
hr-22,server,hr-22,"Windows, staging, Executive Administration",LOW,NEW
hr-23,firewall,hr-23,"Windows, prod, Engineering",HIGH,NEW
hr-24,server,hr-24,"Windows, prod, HR",LOW,NEW
hr-25,server,hr-25,"Linux, prod, Security",MEDIUM,NEW
hr-25,server,hr-25,"Windows, staging, Security",MEDIUM,NEW
hr-26,container,hr-26,"macOS, prod, Finance",HIGH,NEW
hr-26,server,hr-26,"Windows, prod, Security",HIGH,NEW
hr-26,server,hr-26,"Linux, staging, Finance",HIGH,NEW
hr-27,firewall,hr-27,"Windows, dev, IT",HIGH,NEW
hr-27,container,hr-27,"Linux, staging, Finance",HIGH,NEW
hr-28,firewall,hr-28,"macOS, prod, Finance",LOW,NEW
hr-30,laptop,hr-30,"Linux, prod, Finance",MEDIUM,NEW
hr-33,server,hr-33,"macOS, staging, Finance",HIGH,NEW
hr-33,firewall,hr-33,"macOS, dev, IT",HIGH,NEW
hr-33,server,hr-33,"Linux, prod, Engineering",HIGH,NEW
hr-34,container,hr-34,"macOS, staging, Finance",HIGH,NEW
hr-34,container,hr-34,"Windows, dev, Engineering",HIGH,NEW
hr-37,laptop,hr-37,"Linux, prod, Finance",HIGH,NEW
hr-38,container,hr-38,"Windows, staging, Finance",HIGH,NEW
hr-39,server,hr-39,"macOS, dev, Security",HIGH,NEW
hr-39,server,hr-39,"macOS, staging, Executive Administration",HIGH,NEW
hr-39,server,hr-39,"Linux, dev, Executive Administration",HIGH,NEW
hr-4,laptop,hr-4,"macOS, dev, IT",MEDIUM,NEW
hr-4,container,hr-4,"macOS, prod, Engineering",MEDIUM,NEW
hr-4,container,hr-4,"macOS, staging, Finance",MEDIUM,NEW
hr-40,laptop,hr-40,"Linux, prod, Finance",HIGH,NEW
hr-42,firewall,hr-42,"Linux, prod, HR",HIGH,NEW
hr-44,server,hr-44,"Linux, prod, Engineering",HIGH,NEW
hr-44,laptop,hr-44,"macOS, staging, HR",HIGH,NEW
hr-45,firewall,hr-45,"Windows, prod, Security",LOW,NEW
hr-46,server,hr-46,"macOS, dev, Executive Administration",LOW,NEW
hr-46,laptop,hr-46,"macOS, dev, Engineering",LOW,NEW
hr-48,firewall,hr-48,"macOS, prod, Engineering",LOW,NEW
hr-49,server,hr-49,"Linux, staging, HR",HIGH,NEW
hr-49,server,hr-49,"Linux, dev, HR",HIGH,NEW
hr-5,server,hr-5,"Linux, dev, Security",LOW,NEW
web-1,container,web-1,"Windows, staging, Executive Administration",LOW,NEW
web-10,firewall,web-10,"Linux, dev, Finance",HIGH,NEW
web-10,container,web-10,"Windows, dev, Executive Administration",HIGH,NEW
web-12,laptop,web-12,"Windows, prod, IT",MEDIUM,NEW
web-12,container,web-12,"Windows, staging, Executive Administration",MEDIUM,NEW
web-12,laptop,web-12,"Linux, prod, IT",MEDIUM,NEW
web-15,container,web-15,"macOS, staging, Engineering",HIGH,NEW
web-15,server,web-15,"macOS, staging, HR",HIGH,NEW
web-15,container,web-15,"Windows, staging, Engineering",HIGH,NEW
web-16,server,web-16,"macOS, prod, IT",MEDIUM,NEW
web-16,server,web-16,"Linux, prod, Finance",MEDIUM,NEW
web-16,laptop,web-16,"Linux, prod, Finance",MEDIUM,NEW
web-16,container,web-16,"Windows, staging, IT",MEDIUM,NEW
web-19,firewall,web-19,"macOS, dev, IT",LOW,NEW
web-2,firewall,web-2,"Linux, staging, Security",LOW,NEW
web-20,firewall,web-20,"macOS, staging, Executive Administration",LOW,NEW
web-20,server,web-20,"macOS, staging, HR",LOW,NEW
web-22,container,web-22,"Linux, prod, Finance",LOW,NEW
web-23,container,web-23,"Linux, prod, Executive Administration",LOW,NEW
web-23,server,web-23,"Linux, prod, Security",LOW,NEW
web-25,container,web-25,"Windows, dev, Executive Administration",HIGH,NEW
web-26,laptop,web-26,"Linux, prod, Finance",HIGH,NEW
web-26,container,web-26,"Linux, dev, Engineering",HIGH,NEW
web-28,container,web-28,"Linux, prod, Executive Administration",MEDIUM,NEW
web-28,container,web-28,"Windows, dev, Executive Administration",MEDIUM,NEW
web-28,laptop,web-28,"Windows, dev, Executive Administration",MEDIUM,NEW
web-29,firewall,web-29,"Linux, staging, Finance",LOW,NEW
web-31,firewall,web-31,"Linux, prod, Finance",MEDIUM,NEW
web-31,firewall,web-31,"macOS, dev, Engineering",MEDIUM,NEW
web-32,firewall,web-32,"Linux, staging, Finance",MEDIUM,NEW
web-33,container,web-33,"Linux, staging, IT",HIGH,NEW
web-33,firewall,web-33,"macOS, dev, IT",HIGH,NEW
web-35,laptop,web-35,"Linux, dev, Executive Administration",HIGH,NEW
web-35,laptop,web-35,"macOS, dev, IT",HIGH,NEW
web-36,server,web-36,"macOS, dev, IT",HIGH,NEW
web-36,laptop,web-36,"Linux, prod, Finance",HIGH,NEW
web-38,server,web-38,"Linux, staging, Engineering",HIGH,NEW
web-39,laptop,web-39,"macOS, dev, Security",MEDIUM,NEW
web-4,container,web-4,"Windows, prod, HR",LOW,NEW
web-42,laptop,web-42,"Windows, dev, HR",HIGH,NEW
web-42,firewall,web-42,"macOS, prod, Security",HIGH,NEW
web-46,firewall,web-46,"Linux, staging, IT",HIGH,NEW
web-47,server,web-47,"macOS, staging, IT",HIGH,NEW
web-47,laptop,web-47,"macOS, prod, IT",HIGH,NEW
web-48,laptop,web-48,"macOS, staging, IT",MEDIUM,NEW
web-48,laptop,web-48,"Windows, prod, IT",MEDIUM,NEW
web-48,laptop,web-48,"Windows, staging, HR",MEDIUM,NEW
web-49,container,web-49,"Linux, staging, Finance",MEDIUM,NEW
web-5,laptop,web-5,"macOS, staging, HR",HIGH,NEW
web-50,laptop,web-50,"Linux, dev, Engineering",HIGH,NEW
web-50,container,web-50,"Linux, staging, IT",HIGH,NEW
web-7,container,web-7,"Windows, prod, Executive Administration",MEDIUM,NEW
web-9,firewall,web-9,"Windows, prod, Finance",HIGH,NEW
web-9,firewall,web-9,"Linux, prod, Executive Administration",HIGH,NEW
web-9,server,web-9,"macOS, staging, Security",HIGH,NEW
